datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
968,2019,49301,20302,18664,317,10346.0,201.0,523.0,403.0,6.0,132261.0,1271.0,370600.0,Kent,151401.4595923444,1454.935734206378,424232.2447654474,1.5614225199487737,91.93182937641612,0.9900502413555315,1.147227533460803,77.05544933078394
969,2020,49301,19922,18110,404,10546.0,101.0,397.0,366.0,9.0,143221.0,1156.0,386400.0,Kent,161949.61479612536,1307.1669287626878,436928.4613096043,2.027908844493525,90.90452765786567,0.5069772111233812,2.2670025188916876,92.19143576826197
970,2011,49302,7755,7626,0,3609.0,328.0,348.0,313.0,0.0,78049.0,751.0,221400.0,Kent,101544.99706587118,977.0822534109246,288050.61372194235,0.0,98.33655705996132,4.229529335912314,0.0,89.9425287356322
971,2014,49302,8507,8310,35,4016.0,256.0,512.0,505.0,7.0,78670.0,763.0,209500.0,Kent,97252.50426635575,943.226906765342,258985.63167410108,0.41142588456565177,97.68426002115905,3.0092864699659105,1.3671875,98.6328125
972,2018,49302,8875,8686,4,4396.0,124.0,220.0,220.0,0.0,86625.0,814.0,252900.0,Kent,100957.91584862227,948.6839076568951,294744.6686074064,0.04507042253521127,97.87042253521126,1.3971830985915492,0.0,100.0
973,2019,49302,8717,8468,4,4306.0,131.0,180.0,169.0,4.0,87598.0,649.0,266500.0,Kent,100274.94920929211,742.9215511407862,305067.1700755309,0.045887346564184923,97.14351267637949,1.5028105999770562,2.2222222222222223,93.88888888888889
974,2013,49302,8241,8018,30,3797.0,294.0,580.0,533.0,7.0,75616.0,780.0,208900.0,Kent,94993.498714355,979.8842704876864,262433.10782676627,0.3640334910811795,97.29401771629657,3.5675282125955587,1.206896551724138,91.89655172413794
975,2017,49302,8688,8448,34,4388.0,131.0,349.0,347.0,2.0,85632.0,740.0,241000.0,Kent,102238.22193211487,883.5048139686684,287736.0272519582,0.3913443830570903,97.23756906077348,1.5078268876611418,0.5730659025787965,99.42693409742121
976,2016,49302,8356,8178,34,4108.0,146.0,408.0,405.0,3.0,80197.0,632.0,226700.0,Kent,97789.03546563225,770.635689792381,276428.9729049569,0.40689325035902346,97.86979415988512,1.7472474868358068,0.7352941176470588,99.26470588235294
977,2020,49302,9216,8990,2,4543.0,201.0,171.0,161.0,2.0,96413.0,884.0,288100.0,Kent,109020.66185363063,999.5982396420554,325774.04167519923,0.021701388888888888,97.54774305555556,2.180989583333333,1.1695906432748537,94.15204678362574
978,2012,49302,7830,7678,6,3679.0,312.0,406.0,364.0,0.0,72402.0,744.0,214000.0,Kent,92288.15783513506,948.349347108374,272777.90360375267,0.07662835249042146,98.05874840357599,3.984674329501916,0.0,89.65517241379311
979,2015,49302,8332,8136,32,4098.0,199.0,606.0,603.0,3.0,76641.0,627.0,207000.0,Kent,94631.91186708125,774.183645054996,255591.72970715177,0.3840614498319731,97.64762361977917,2.3883821411425825,0.49504950495049505,99.5049504950495
980,2020,49306,10924,10206,70,5660.0,424.0,840.0,718.0,6.0,85469.0,443.0,253200.0,Kent,96645.54518548284,500.9298870604418,286310.26501964754,0.6407909190772612,93.42731600146466,3.8813621384108385,0.7142857142857143,85.47619047619047
981,2019,49306,10650,10056,32,5593.0,417.0,856.0,733.0,4.0,86901.0,505.0,234500.0,Kent,99477.08122601766,578.0822547397489,268436.2153197448,0.3004694835680751,94.42253521126761,3.915492957746479,0.46728971962616817,85.63084112149532
982,2013,49306,10450,9915,29,5099.0,378.0,573.0,555.0,9.0,76550.0,468.0,172200.0,Kent,96166.84731516974,587.9305622926119,216328.2966384354,0.27751196172248804,94.88038277511961,3.6172248803827753,1.5706806282722512,96.8586387434555
983,2014,49306,10045,9469,28,5024.0,312.0,598.0,567.0,18.0,69814.0,508.0,172400.0,Kent,86304.64386489592,627.9937989997296,213122.30501486885,0.2787456445993031,94.26580388252862,3.106022896963663,3.0100334448160537,94.81605351170569
984,2018,49306,10594,10104,26,5488.0,448.0,704.0,683.0,18.0,81279.0,542.0,214100.0,Kent,94727.3701848216,631.6789655405862,249524.8459819917,0.24542193694544082,95.37474041910515,4.228808759675288,2.556818181818182,97.01704545454545
985,2015,49306,10085,9520,26,5308.0,323.0,618.0,597.0,17.0,71633.0,519.0,174200.0,Kent,88448.32064788601,640.8314382512646,215092.17060379632,0.25780862667327714,94.39762022806147,3.202776400594943,2.750809061488673,96.60194174757282
986,2011,49306,10160,9651,35,4957.0,337.0,336.0,316.0,12.0,71528.0,722.0,183100.0,Kent,93060.90468971588,939.3520465548436,238220.71983960093,0.34448818897637795,94.99015748031496,3.316929133858268,3.571428571428571,94.04761904761905
987,2016,49306,10083,9661,17,5314.0,317.0,717.0,704.0,10.0,74571.0,511.0,177400.0,Kent,90928.91459415766,623.0930972846625,216314.51166007653,0.16860061489636022,95.81473767727859,3.143905583655658,1.394700139470014,98.18688981868898
988,2012,49306,10015,9602,29,4994.0,308.0,395.0,380.0,8.0,69985.0,719.0,174700.0,Kent,89207.2971201338,916.482769584571,222683.64373633452,0.28956565152271596,95.87618572141787,3.075386919620569,2.0253164556962027,96.20253164556962
989,2017,49306,10293,9673,22,5242.0,389.0,635.0,618.0,14.0,79306.0,523.0,194900.0,Kent,94685.44969810704,624.4229968994777,232696.06519255872,0.21373749149907703,93.9764888759351,3.7792674633245897,2.204724409448819,97.32283464566929
990,2019,49315,23283,21260,332,11899.0,266.0,768.0,618.0,0.0,82182.0,886.0,242500.0,Kent,94075.16011687533,1014.2195598008268,277593.9540086913,1.4259330842245415,91.31125714040287,1.1424644590473738,0.0,80.46875
991,2014,49315,20734,19613,166,10188.0,653.0,970.0,906.0,2.0,66325.0,752.0,182100.0,Kent,81991.51322570289,929.6286158421194,225113.5251926196,0.8006173434937783,94.59342143339443,3.149416417478538,0.2061855670103093,93.4020618556701
992,2015,49315,21046,19912,240,10456.0,639.0,962.0,918.0,2.0,69333.0,762.0,186800.0,Kent,85608.41254002877,940.8739035596602,230649.92806423164,1.140359213152143,94.61180271785612,3.0362064050175808,0.2079002079002079,95.42619542619542
993,2013,49315,20135,19144,125,9810.0,623.0,1325.0,1247.0,20.0,64696.0,716.0,178600.0,Kent,81275.1189275274,899.4835098322866,224368.3727039754,0.6208095356344674,95.07822200148995,3.0941147256021853,1.509433962264151,94.11320754716981
994,2017,49315,22617,21045,405,11238.0,484.0,971.0,833.0,4.0,71205.0,773.0,215800.0,Kent,85013.45983599868,922.9043529699736,257649.1065600522,1.7906884202148827,93.0494760578326,2.1399831984790203,0.4119464469618949,85.78784757981462
995,2016,49315,21996,20564,294,11186.0,486.0,1203.0,1035.0,3.0,70085.0,748.0,200000.0,Kent,85458.86442895414,912.0814809568052,243872.0537317661,1.336606655755592,93.48972540461902,2.20949263502455,0.24937655860349126,86.0349127182045
996,2012,49315,19552,18428,90,9493.0,595.0,1271.0,1201.0,21.0,64476.0,717.0,181600.0,Kent,82185.17809698859,913.9334433826668,231478.81913290411,0.46031096563011453,94.25122749590835,3.0431669394435352,1.6522423288749015,94.492525570417
997,2011,49315,19581,18540,173,9393.0,642.0,809.0,753.0,24.0,67893.0,702.0,189200.0,Kent,88331.61841654849,913.331214240305,246157.0736955352,0.8835095245390939,94.68362187835146,3.278688524590164,2.966625463535229,93.0778739184178
998,2020,49315,23116,20986,258,11702.0,440.0,892.0,685.0,0.0,87113.0,936.0,256800.0,Kent,98504.5265270796,1058.398136091588,290381.0270815383,1.1161100536424986,90.7856030455096,1.9034435023360445,0.0,76.79372197309418
999,2018,49315,22744,20832,310,11487.0,338.0,843.0,707.0,6.0,77270.0,830.0,228100.0,Kent,90055.0436666441,967.3312571931486,265841.2768262135,1.362996834329933,91.5933872669715,1.486106225817798,0.7117437722419928,83.86714116251483
1000,2018,49316,23140,20873,596,11948.0,340.0,1382.0,1133.0,77.0,84726.0,910.0,232700.0,Kent,98744.7085505382,1060.568004874416,271202.3898178864,2.575626620570441,90.20311149524632,1.4693171996542784,5.571635311143271,81.98263386396528
1001,2011,49316,19552,18111,405,9747.0,607.0,909.0,800.0,3.0,74769.0,725.0,189800.0,Kent,97277.58056628684,943.2551714020244,246937.69866497137,2.0713993453355157,92.62990998363338,3.104541734860884,0.33003300330033003,88.00880088008802
1002,2019,49316,23391,21143,631,11778.0,432.0,1306.0,1142.0,65.0,89326.0,900.0,244500.0,Kent,102253.02076610456,1030.2456025064832,279883.388680928,2.697618742251293,90.38946603394467,1.846864178530204,4.977029096477795,87.4425727411945
1003,2016,49316,21940,20291,419,11314.0,477.0,1288.0,1155.0,33.0,81575.0,815.0,195500.0,Kent,99469.3139158441,993.778618956947,238384.9325228014,1.90975387420237,92.48404740200546,2.1741112123974475,2.562111801242236,89.67391304347827
1004,2020,49316,24193,21467,564,12290.0,620.0,929.0,562.0,71.0,86067.0,966.0,252800.0,Kent,97321.74399465248,1092.3211532740108,285857.95812388195,2.331252841731079,88.73227793163312,2.5627247550944485,7.642626480086114,60.495156081808396
1005,2012,49316,20081,18521,451,10066.0,649.0,841.0,717.0,9.0,79437.0,818.0,186400.0,Kent,101255.4127503332,1042.6744165788305,237597.2020174743,2.2459040884418107,92.23146257656492,3.2319107614162643,1.070154577883472,85.25564803804994
1006,2015,49316,21598,20052,321,11004.0,551.0,1674.0,1509.0,41.0,80392.0,813.0,188300.0,Kent,99263.43156819974,1003.8457789947556,232502.0420476168,1.4862487267339568,92.84192980831558,2.5511621446430226,2.4492234169653524,90.14336917562724
1007,2017,49316,22331,20630,425,11437.0,405.0,1207.0,1107.0,25.0,86206.0,828.0,214800.0,Kent,102923.53512565272,988.5702513054828,256455.1811357702,1.9031839147373604,92.38278626125117,1.8136223187497202,2.071251035625518,91.71499585749793
1008,2013,49316,20073,18278,460,10359.0,571.0,877.0,743.0,26.0,80434.0,830.0,183200.0,Kent,101046.16847744434,1042.6973647497175,230147.17737608225,2.2916355303143527,91.05763961540377,2.8446171474119466,2.9646522234891677,84.72063854047892
1009,2014,49316,20912,18898,362,10579.0,419.0,1019.0,869.0,27.0,80339.0,815.0,184000.0,Kent,99315.73586188834,1007.509736584212,227462.32089753984,1.73106350420811,90.36916602907421,2.0036342769701605,2.649656526005888,85.27968596663396
1010,2019,49319,16705,16049,127,8791.0,473.0,1157.0,1089.0,41.0,67938.0,612.0,159000.0,Kent,77769.80638120606,700.5670097044085,182010.056442812,0.7602514217300209,96.07303202633942,2.831487578569291,3.543647363872083,94.12273120138289
1011,2016,49319,16507,15590,140,7760.0,670.0,1551.0,1392.0,34.0,59640.0,549.0,132600.0,Kent,72722.64642281266,669.428787493698,161687.17162416095,0.8481250378627249,94.44478100199916,4.058884109771612,2.192134107027724,89.74854932301741
1012,2014,49319,16401,15420,139,7844.0,756.0,1724.0,1598.0,17.0,56738.0,566.0,128800.0,Kent,70139.98458198161,699.6938784130846,159223.62462827793,0.8475092982135236,94.01865739893908,4.609475032010243,0.9860788863109048,92.69141531322505
1013,2017,49319,16780,15881,167,8257.0,522.0,1431.0,1271.0,34.0,62638.0,577.0,139400.0,Kent,74785.10072617492,688.894969810705,166433.20414490858,0.9952324195470797,94.64243146603098,3.1108462455303934,2.375960866526904,88.81900768693221
1014,2015,49319,16569,15581,157,7942.0,756.0,1781.0,1634.0,32.0,59353.0,550.0,126500.0,Kent,73285.68083723952,679.1084605745579,156194.94593214832,0.9475526585792746,94.03705715492788,4.562737642585551,1.7967434025828188,91.74620999438517
1015,2012,49319,15674,14977,91,7060.0,957.0,1587.0,1538.0,20.0,56617.0,625.0,135000.0,Kent,72167.60078660591,796.6644380950721,172079.5186285356,0.580579303304836,95.5531453362256,6.105652673216793,1.260239445494644,96.91241335853812
1016,2018,49319,16886,16155,136,8693.0,527.0,1390.0,1237.0,38.0,65102.0,596.0,145300.0,Kent,75873.73434432333,694.6137702254416,169341.24297610178,0.8054009238422363,95.67097003434797,3.1209285798886652,2.7338129496402876,88.9928057553957
1017,2013,49319,15987,15095,131,7365.0,884.0,1668.0,1606.0,17.0,57622.0,592.0,130600.0,Kent,72388.32235133523,743.7070360624492,164067.80221242548,0.8194157753174454,94.42046662913617,5.529492712829174,1.0191846522781776,96.28297362110312
1018,2020,49319,18341,17062,59,9357.0,341.0,1165.0,1092.0,4.0,66031.0,730.0,172500.0,Kent,74665.69158575177,825.4600847722857,195057.34879893047,0.3216836595605474,93.02655253257728,1.8592225069516384,0.34334763948497854,93.73390557939915
1019,2011,49319,15763,15184,93,7055.0,851.0,1702.0,1643.0,24.0,52960.0,587.0,140300.0,Kent,68903.16396889822,763.7114284317081,182536.1386864883,0.5899892152509041,96.32684133730889,5.398718518048595,1.410105757931845,96.53349001175087
1020,2014,49321,16479,13669,1090,8407.0,908.0,2915.0,1539.0,612.0,49163.0,612.0,140600.0,Kent,60775.70696894431,756.5594586374696,173810.88216409838,6.614479033921962,82.94799441713695,5.510043085138661,20.994854202401374,52.795883361921106
1021,2020,49321,16926,14277,575,8447.0,332.0,1323.0,1235.0,30.0,61293.0,748.0,184700.0,Kent,69308.11640540781,845.8138950817391,208852.7091197824,3.3971404939146876,84.34952144629564,1.9614793808342197,2.2675736961451247,93.34845049130763
1022,2011,49321,15850,13582,851,8417.0,840.0,1925.0,1361.0,476.0,47134.0,600.0,147700.0,Kent,61323.29551567314,780.6249694361582,192163.8466428676,5.369085173501578,85.69085173501577,5.299684542586751,24.727272727272727,70.7012987012987
1023,2013,49321,16115,13148,1099,8335.0,895.0,2679.0,1475.0,603.0,49067.0,608.0,142700.0,Kent,61641.00192310168,763.8072262262992,179268.571023837,6.819733167856034,81.58858206639776,5.553831833695315,22.508398656215007,55.057857409481144
1024,2015,49321,16698,14128,1134,8770.0,716.0,2901.0,1795.0,547.0,48351.0,626.0,141100.0,Kent,59701.04214043718,772.9489023994058,174222.18870376382,6.791232482932087,84.60893520182057,4.287938675290454,18.85556704584626,61.875215442950704
1025,2012,49321,15792,13395,867,8255.0,755.0,2329.0,1485.0,514.0,47031.0,597.0,144600.0,Kent,59948.680300878936,760.9738712684128,184316.28439767583,5.490121580547112,84.82142857142857,4.780901722391084,22.06955775010734,63.76127093173035
1026,2018,49321,17354,15351,894,9393.0,392.0,1804.0,1542.0,135.0,53686.0,718.0,159100.0,Kent,62568.85045020648,836.7998104393744,185424.5819511204,5.151550074910683,88.45799239368445,2.258845223003342,7.483370288248336,85.47671840354766
1027,2019,49321,17160,15138,785,9231.0,337.0,1825.0,1602.0,103.0,57867.0,739.0,169200.0,Kent,66241.35808915852,845.9461113914346,193686.1732712188,4.574592074592075,88.21678321678321,1.9638694638694636,5.6438356164383565,87.78082191780821
1028,2017,49321,17036,15180,910,9368.0,521.0,2086.0,1729.0,168.0,53250.0,687.0,152200.0,Kent,63576.52884301566,820.2267664817232,181715.449575718,5.3416294904907256,89.10542380840573,3.058229631368866,8.053691275167784,82.88590604026845
1029,2016,49321,16875,14616,1082,9020.0,573.0,2733.0,1683.0,483.0,51082.0,636.0,143600.0,Kent,62287.36124363039,775.5131308670163,175100.13457940807,6.411851851851852,86.61333333333333,3.3955555555555557,17.672886937431397,61.58068057080131
1030,2017,49325,1947,1906,0,915.0,63.0,195.0,166.0,0.0,61397.0,550.0,128700.0,Kent,73303.43927464099,656.6589833550912,153658.2021050914,0.0,97.89419619928094,3.2357473035439135,0.0,85.12820512820512
1031,2012,49325,1683,1643,0,795.0,149.0,144.0,141.0,0.0,63553.0,539.0,140000.0,Kent,81008.6640548098,687.0434114131901,178452.83413329613,0.0,97.6232917409388,8.85323826500297,0.0,97.91666666666666
1032,2018,49325,1950,1883,0,872.0,50.0,235.0,191.0,0.0,64821.0,530.0,147000.0,Kent,75546.24026809288,617.6934533883962,171322.52386432872,0.0,96.56410256410255,2.564102564102564,0.0,81.27659574468085
1033,2019,49325,2050,2019,4,895.0,61.0,181.0,178.0,0.0,70699.0,500.0,154700.0,Kent,80930.37094622872,572.3586680591574,177087.77189750326,0.1951219512195122,98.48780487804878,2.975609756097561,0.0,98.34254143646409
1034,2011,49325,1763,1726,0,800.0,122.0,110.0,106.0,0.0,64063.0,528.0,148700.0,Kent,83348.62902831433,686.9499731038193,193464.88825859447,0.0,97.9013045944413,6.920022688598978,0.0,96.36363636363636
1035,2020,49325,2339,2307,3,992.0,42.0,165.0,162.0,0.0,74836.0,563.0,177100.0,Kent,84622.09712879283,636.6219557901326,200258.8781002353,0.12825994014536127,98.63189397178282,1.7956391620350578,0.0,98.18181818181819
1036,2016,49325,1810,1749,0,865.0,66.0,182.0,135.0,0.0,61016.0,615.0,121300.0,Kent,74400.48615248721,749.9065652251809,147908.40058831617,0.0,96.62983425414365,3.6464088397790055,0.0,74.17582417582418
1037,2013,49325,1625,1567,0,846.0,139.0,135.0,132.0,0.0,62083.0,530.0,123600.0,Kent,77992.50662139364,665.8187991775307,155273.9690157411,0.0,96.43076923076923,8.553846153846154,0.0,97.77777777777777
1038,2014,49325,1601,1529,0,822.0,100.0,155.0,122.0,0.0,62750.0,550.0,117500.0,Kent,77572.06867565558,679.9145461611246,145254.4712253312,0.0,95.50281074328545,6.2460961898813245,0.0,78.70967741935485
1039,2015,49325,1739,1667,0,852.0,84.0,203.0,155.0,0.0,60568.0,583.0,114800.0,Kent,74785.8931637815,719.8549682090314,141748.4568617441,0.0,95.85968947671076,4.830362277170788,0.0,76.35467980295566
1040,2016,49326,4032,3643,231,1745.0,126.0,556.0,472.0,0.0,50671.0,610.0,102900.0,Kent,61786.20417321161,743.8097638818867,125472.17164499366,5.729166666666666,90.35218253968253,3.125,0.0,84.89208633093526
1041,2012,49326,3928,3742,13,1701.0,303.0,740.0,707.0,0.0,51433.0,624.0,129200.0,Kent,65559.74727127016,795.38977499412,164686.47264301332,0.33095723014256617,95.26476578411406,7.713849287169043,0.0,95.54054054054055
1042,2020,49326,4257,4180,0,1793.0,51.0,420.0,407.0,0.0,60352.0,549.0,138300.0,Kent,68244.06443311914,620.7912144383353,156385.1092109686,0.0,98.19121447028424,1.1980267794221282,0.0,96.9047619047619
1043,2013,49326,3943,3748,5,1740.0,240.0,703.0,674.0,0.0,52792.0,620.0,126500.0,Kent,66320.577445623,778.8823688491867,158917.12848293892,0.12680699974638598,95.05452700989095,6.086735987826528,0.0,95.87482219061167
1044,2011,49326,3545,3378,7,1700.0,226.0,641.0,611.0,0.0,51961.0,627.0,141600.0,Kent,67603.42339478702,815.7530930607852,184227.4927869333,0.19746121297602257,95.28913963328633,6.375176304654443,0.0,95.3198127925117
1045,2014,49326,4015,3736,4,1769.0,208.0,691.0,629.0,0.0,53177.0,601.0,130300.0,Kent,65737.84694765476,742.961167714247,161077.93702689916,0.099626400996264,93.05105853051059,5.180572851805729,0.0,91.02749638205499
1046,2019,49326,4308,4064,189,2026.0,87.0,459.0,443.0,0.0,57361.0,548.0,121100.0,Kent,65662.13111708264,627.3051001928363,138625.2694039279,4.387186629526462,94.33611884865367,2.01949860724234,0.0,96.51416122004358
1047,2018,49326,4074,3734,227,1774.0,50.0,451.0,393.0,0.0,54850.0,549.0,120800.0,Kent,63925.44512896892,639.8371809626971,140787.4889987137,5.571919489445263,91.65439371624939,1.2272950417280315,0.0,87.13968957871397
1048,2017,49326,4051,3702,209,1785.0,57.0,485.0,416.0,0.0,53438.0,603.0,110800.0,Kent,63800.98682278067,719.9370308420365,132286.93701044386,5.1592199456924215,91.3848432485806,1.4070599851888421,0.0,85.77319587628865
1049,2015,49326,4000,3702,187,1817.0,157.0,497.0,456.0,0.0,54675.0,548.0,117300.0,Kent,67509.55469438901,676.6389752633777,144835.31350071935,4.675,92.55,3.925,0.0,91.75050301810866
1050,2020,49330,5852,5626,43,2530.0,361.0,459.0,422.0,22.0,70787.0,699.0,168400.0,Kent,80043.62057640518,790.4063003504488,190421.2031173327,0.7347915242652086,96.13807245386192,6.1688311688311686,4.793028322440087,91.93899782135077
1051,2013,49330,5277,4796,148,2227.0,326.0,571.0,432.0,80.0,48944.0,704.0,120900.0,Kent,61486.481711217086,884.4083672093992,151882.06192559144,2.8046238393026344,90.88497252226644,6.177752510896343,14.010507880910684,75.65674255691769
