datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
0,2012,48009,20153,18622,663,10031.0,489.0,797.0,767.0,0.0,100789.0,993.0,339600.0,Oakland,128472.01928186275,1265.7404592454507,432875.5890833384
1,2013,48009,20241,18620,765,10138.0,553.0,704.0,669.0,0.0,98750.0,1070.0,347400.0,Oakland,124055.86116751158,1344.2002172074674,436425.37893259263
2,2015,48009,20489,18864,587,10669.0,407.0,827.0,730.0,37.0,108135.0,1121.0,410700.0,Oakland,133518.89706223604,1384.1465169165078,507108.8086508562
3,2017,48009,20836,19063,580,10795.0,393.0,914.0,726.0,92.0,114537.0,1223.0,467700.0,Oakland,136748.63632098562,1460.1707938968666,558398.920936684
4,2020,48009,21277,19011,688,10729.0,362.0,1001.0,790.0,114.0,126646.0,1498.0,538500.0,Oakland,143207.14780283681,1693.8893246423065,608918.1584244875
5,2019,48009,21201,19096,712,10990.0,271.0,1118.0,899.0,114.0,122804.0,1371.0,541500.0,Oakland,140575.8677446735,1569.4074678182092,619864.4375080675
6,2014,48009,20382,18775,722,10510.0,467.0,654.0,582.0,16.0,107161.0,1124.0,371100.0,Oakland,132473.31396576777,1389.498090700189,458756.88741889695
7,2011,48009,20037,18531,753,10033.0,437.0,809.0,786.0,0.0,100473.0,1056.0,342600.0,Oakland,130719.55425693188,1373.8999462076385,445736.85754804633
8,2018,48009,21066,19277,586,10751.0,296.0,1101.0,852.0,142.0,117670.0,1307.0,488700.0,Oakland,137139.60124568408,1523.2553652427052,569559.9823979419
9,2016,48009,20653,18787,656,10919.0,411.0,756.0,612.0,76.0,112545.0,1166.0,439000.0,Oakland,137232.9014362081,1421.7740732561965,535299.1579412266
10,2017,48017,11980,11272,155,7019.0,294.0,772.0,670.0,8.0,62949.0,747.0,156100.0,Oakland,75156.41153312662,891.8622919386422,186371.75873041773
11,2013,48017,11913,11101,80,6244.0,825.0,889.0,754.0,0.0,51868.0,709.0,126500.0,Oakland,65159.79146366067,890.6896766356023,158917.12848293892
12,2015,48017,11979,10931,197,6758.0,441.0,702.0,588.0,0.0,56302.0,722.0,126600.0,Oakland,69518.4809950341,891.484197336056,156318.42019770734
13,2014,48017,11943,11012,127,6518.0,692.0,950.0,804.0,0.0,54021.0,713.0,122900.0,Oakland,66781.20672394567,881.416493477967,151929.99586036766
14,2020,48017,11852,11164,68,6980.0,218.0,873.0,803.0,11.0,71938.0,850.0,190700.0,Oakland,81345.13366897078,961.1521535019763,215637.31255626693
15,2016,48017,11982,11166,155,6773.0,402.0,776.0,647.0,9.0,59244.0,727.0,139400.0,Oakland,72239.77975642376,886.4749153149698,169978.82145104097
16,2018,48017,11993,11164,209,6911.0,205.0,830.0,746.0,11.0,67316.0,778.0,166500.0,Oakland,78454.0613364024,906.7273712003248,194048.98111163764
17,2019,48017,11910,11179,138,6968.0,199.0,857.0,760.0,12.0,68183.0,843.0,178200.0,Oakland,78050.26212855504,964.9967143477393,203988.62929628365
18,2012,48017,11885,11027,124,6147.0,869.0,977.0,901.0,0.0,51858.0,715.0,135800.0,Oakland,66101.4790891748,911.3841171807625,173099.2491092973
19,2011,48017,11932,11183,206,6418.0,789.0,730.0,665.0,8.0,51473.0,710.0,152700.0,Oakland,66968.51508631228,923.7395471661206,198669.05472150224
20,2017,48025,14758,12484,1259,7326.0,282.0,404.0,343.0,7.0,119828.0,1138.0,366500.0,Oakland,143065.6957408616,1358.687132832898,437573.6679993472
21,2015,48025,14687,12711,857,7142.0,323.0,421.0,340.0,14.0,112774.0,1123.0,317300.0,Oakland,139246.86824151853,1386.616002227688,391783.8446187404
22,2014,48025,14616,12616,1061,6951.0,416.0,445.0,342.0,14.0,106472.0,1196.0,298200.0,Oakland,131621.56647066775,1478.505085834009,368637.30484590423
23,2016,48025,14762,12659,982,7291.0,256.0,412.0,355.0,0.0,116412.0,1109.0,351300.0,Oakland,141948.1675951118,1352.2705379426432,428361.2623798472
24,2019,48025,14820,12307,1409,7412.0,208.0,366.0,263.0,33.0,138254.0,1210.0,412400.0,Oakland,158261.75058770148,1385.1079767031608,472081.4294151929
25,2020,48025,14777,12130,1421,7132.0,169.0,741.0,582.0,25.0,140170.0,1289.0,416100.0,Oakland,158499.64394867295,1457.5589716047618,470512.24832020275
26,2013,48025,14576,12718,1028,6904.0,422.0,472.0,367.0,21.0,112183.0,1232.0,298400.0,Oakland,140931.2270719489,1547.7146426164484,374868.5465558021
27,2012,48025,14610,12874,1117,6832.0,449.0,345.0,275.0,32.0,111853.0,1136.0,305100.0,Oakland,142574.89183079696,1448.017282681603,388899.7121004904
28,2011,48025,14593,12998,1089,6659.0,405.0,286.0,223.0,34.0,109088.0,1164.0,332100.0,Oakland,141928.0277764194,1514.412440706147,432075.92058291356
29,2018,48025,14867,12415,1505,7460.0,247.0,332.0,288.0,32.0,123365.0,1168.0,387700.0,Oakland,143776.8922212443,1361.2565161465031,451848.58845034183
30,2019,48030,16525,13023,2197,8086.0,586.0,3718.0,2285.0,923.0,38903.0,764.0,73600.0,Oakland,44532.938527010796,874.5640447943924,84251.19593830795
31,2015,48030,16600,13706,1976,6871.0,965.0,4488.0,3244.0,860.0,34238.0,720.0,50300.0,Oakland,42275.119042094026,889.0147120248757,62107.55557618229
32,2016,48030,16587,13398,2083,7485.0,678.0,4165.0,3019.0,669.0,33379.0,711.0,51200.0,Oakland,40701.026407563106,866.9651510164286,62431.24575533213
33,2014,48030,16532,13849,1746,6534.0,1317.0,4731.0,3437.0,870.0,31596.0,709.0,49100.0,Oakland,39059.23636455798,876.471660414977,60697.825848202214
34,2017,48030,16587,13488,2048,7512.0,556.0,4254.0,2960.0,870.0,35148.0,713.0,55500.0,Oakland,41964.090812663184,851.2688275130547,66262.86104765012
35,2013,48030,16528,13664,1705,6510.0,1313.0,4503.0,3403.0,756.0,30875.0,692.0,54700.0,Oakland,38787.08570680426,869.3332245865116,68717.52512266212
36,2012,48030,16579,13757,1496,6707.0,1371.0,4293.0,2904.0,695.0,33095.0,699.0,63100.0,Oakland,42184.97532601026,890.9895075655286,80431.24167007848
37,2018,48030,16592,13174,2202,7879.0,678.0,4055.0,2604.0,943.0,35817.0,741.0,61100.0,Oakland,41743.257396249406,863.6053753977387,71209.56604156793
38,2020,48030,16452,13166,1823,8716.0,455.0,2957.0,1948.0,636.0,43725.0,764.0,86100.0,Oakland,49442.79754338107,863.9061709123646,97359.05931355312
39,2011,48030,16703,13536,1559,6674.0,1627.0,4467.0,2924.0,844.0,35042.0,709.0,78400.0,Oakland,45591.1002983031,922.4385055503936,102001.66267299133
40,2020,48033,17247,3501,12135,8017.0,527.0,2272.0,392.0,1425.0,51951.0,967.0,150500.0,Oakland,58744.488854801384,1093.4519205134247,170180.4695318205
41,2015,48033,16322,4113,11414,7059.0,912.0,3017.0,963.0,1713.0,45629.0,795.0,87300.0,Oakland,56340.07263192091,981.6204111941337,107793.03383301619
42,2019,48033,16757,3422,11837,7833.0,564.0,2556.0,544.0,1439.0,49105.0,957.0,141400.0,Oakland,56211.34479008984,1095.494490665227,161863.03132712966
43,2013,48033,16553,3839,11977,6755.0,1278.0,3098.0,917.0,1874.0,44011.0,787.0,99100.0,Oakland,55289.34183132509,988.6781036843709,124495.5528273458
44,2017,48033,16507,3824,11542,7625.0,722.0,2712.0,589.0,1828.0,47326.0,860.0,102000.0,Oakland,56503.714629569185,1026.7758648825065,121780.39327676239
45,2014,48033,15976,4118,11097,6659.0,1155.0,2682.0,996.0,1449.0,44643.0,802.0,87600.0,Oakland,55188.04560776561,991.4390291294943,108291.84407948093
46,2012,48033,16258,4089,11366,6545.0,1187.0,2537.0,901.0,1360.0,41766.0,786.0,113500.0,Oakland,53237.57907436605,1001.8851973483627,144674.2619580651
47,2018,48033,16457,3557,11616,8012.0,588.0,1985.0,544.0,1155.0,49845.0,912.0,127500.0,Oakland,58092.32110215963,1062.8989235664478,148596.06661701982
48,2016,48033,16420,4095,11297,7323.0,806.0,3028.0,866.0,1925.0,46707.0,827.0,93300.0,Oakland,56952.660068248006,1008.4109421808529,113766.31306586889
49,2011,48033,16481,4004,11498,7029.0,1057.0,2159.0,557.0,1189.0,43414.0,771.0,139200.0,Oakland,56483.42070516895,1003.1030857254633,181104.99290918867
50,2011,48034,13095,2825,9199,5956.0,818.0,2206.0,510.0,1511.0,41304.0,825.0,173500.0,Oakland,53738.222895985135,1073.3593329747175,225730.7203286224
51,2013,48034,13463,2864,9770,5789.0,917.0,2379.0,420.0,1792.0,40731.0,829.0,124100.0,Oakland,51168.802847735846,1041.441102864477,155902.09995836142
52,2019,48034,13846,2810,9640,6895.0,527.0,1495.0,210.0,1162.0,48481.0,983.0,186000.0,Oakland,55497.04117235201,1125.2571414043034,212917.4245180065
53,2017,48034,13842,2751,10049,6782.0,711.0,1782.0,319.0,1327.0,45265.0,894.0,163600.0,Oakland,54043.034330124014,1067.369329308094,195326.19941253262
54,2016,48034,13348,2935,9397,6506.0,697.0,1812.0,406.0,1340.0,41244.0,867.0,134000.0,Oakland,50291.29492056481,1057.1853529272062,163394.2760002833
55,2012,48034,13296,2740,9460,5834.0,890.0,2130.0,490.0,1473.0,43181.0,838.0,143400.0,Oakland,55041.2273622133,1068.1676785978727,182786.68867653332
56,2020,48034,14213,2346,10192,7265.0,523.0,1708.0,166.0,1450.0,50672.0,1002.0,208500.0,Oakland,57298.23755559076,1133.028773892918,235764.9694178377
57,2018,48034,13819,2822,9692,6961.0,554.0,1496.0,234.0,1115.0,45964.0,958.0,172500.0,Oakland,53569.17338027215,1116.5100534831765,201041.73718773268
58,2015,48034,13807,2953,9973,6274.0,727.0,2051.0,432.0,1435.0,40608.0,839.0,132100.0,Oakland,50140.42975820299,1035.9490880400983,163109.50480345293
59,2014,48034,13997,3035,10213,6184.0,874.0,2362.0,546.0,1598.0,42427.0,838.0,122500.0,Oakland,52448.60809086915,1035.9425266964045,151435.51255406867
60,2013,48067,24944,23146,522,15742.0,1027.0,1825.0,1634.0,48.0,66659.0,854.0,159500.0,Oakland,83741.16100825474,1072.8476499954927,200373.77069587947
61,2015,48067,25210,23331,582,16137.0,818.0,1794.0,1617.0,74.0,68926.0,884.0,169600.0,Oakland,85105.8722792036,1091.5125075416531,209412.35438808185
62,2020,48067,24685,22077,744,16204.0,570.0,1475.0,1198.0,109.0,89538.0,1095.0,240800.0,Oakland,101246.63708265877,1238.1901271584284,272288.75125091284
63,2016,48067,25017,23035,644,16210.0,561.0,1707.0,1479.0,149.0,73182.0,902.0,179200.0,Oakland,89235.22318099054,1099.8629623302654,218509.36014366243
64,2011,48067,24760,22997,577,15197.0,1253.0,1814.0,1666.0,14.0,64809.0,815.0,169400.0,Oakland,84319.20607364664,1060.3489168174483,220396.449704142
65,2019,48067,24556,22237,746,16028.0,487.0,1484.0,1223.0,105.0,85939.0,1065.0,234200.0,Oakland,98375.86314867184,1219.123962966005,268092.80011890933
66,2018,48067,24901,22582,881,15886.0,562.0,1602.0,1320.0,137.0,82025.0,1018.0,219100.0,Oakland,95596.80285694942,1186.437614244127,255352.14271207093
67,2014,48067,25366,23483,649,15995.0,965.0,1844.0,1666.0,87.0,68107.0,878.0,161900.0,Oakland,84194.43635526493,1085.3908573263043,200142.11822452012
68,2017,48067,25199,23081,727,16259.0,516.0,1572.0,1350.0,107.0,78412.0,942.0,196500.0,Oakland,93618.08036879895,1124.677749673629,234606.3458714099
69,2012,48067,24457,22861,466,15095.0,1211.0,1907.0,1738.0,52.0,65890.0,831.0,162300.0,Oakland,83987.55172173488,1059.2450368912077,206877.82128452833
70,2019,48069,2431,2198,51,1307.0,38.0,95.0,64.0,0.0,122813.0,1177.0,346100.0,Oakland,140586.17020069857,1347.3323046112562,396186.67003054864
71,2020,48069,2432,2195,28,1257.0,95.0,86.0,55.0,0.0,123155.0,1281.0,357100.0,Oakland,139259.63937004225,1448.512833689449,403796.9811947715
72,2013,48069,2539,2293,39,1504.0,90.0,96.0,88.0,0.0,97670.0,1330.0,239900.0,Oakland,122699.09833145172,1670.8283073700295,301377.22626922565
73,2012,48069,2541,2320,35,1493.0,82.0,99.0,83.0,0.0,100714.0,1379.0,246600.0,Oakland,128376.41954929136,1757.760416212967,314331.9206947917
74,2018,48069,2389,2138,49,1319.0,40.0,95.0,66.0,0.0,116583.0,990.0,332900.0,Oakland,135872.74693656486,1153.8047525556833,387981.4162886737
75,2014,48069,2544,2234,44,1516.0,72.0,87.0,78.0,0.0,100543.0,1366.0,233700.0,Oakland,124292.08766305083,1688.660491011084,288901.8717051906
76,2015,48069,2555,2323,34,1559.0,65.0,91.0,81.0,0.0,105438.0,1385.0,247300.0,Oakland,130188.79612010952,1710.118577992296,305351.8587274331
77,2016,48069,2562,2311,58,1472.0,80.0,64.0,64.0,0.0,107656.0,1330.0,268400.0,Oakland,131271.44908273508,1621.7491573162447,327276.2961080302
78,2011,48069,2531,2335,59,1487.0,98.0,88.0,48.0,29.0,107750.0,1319.0,254000.0,Oakland,140187.23409457674,1716.0738911438211,330464.5703946403
79,2017,48069,2365,2121,56,1364.0,51.0,65.0,49.0,0.0,102287.0,1162.0,295900.0,Oakland,122123.04987353132,1387.3413430156656,353282.5330450391
80,2020,48070,6303,5869,62,3500.0,65.0,92.0,92.0,0.0,150114.0,1754.0,372200.0,Oakland,169743.99337740667,1983.3657379323136,420871.5665099242
81,2014,48070,6310,5953,136,3422.0,117.0,114.0,107.0,2.0,113750.0,1688.0,266100.0,Oakland,140618.69022877802,2086.7195525817788,328955.0195154096
82,2015,48070,6333,5865,178,3327.0,122.0,142.0,133.0,2.0,115025.0,1840.0,275300.0,Oakland,142026.27395925188,2271.9264862857935,339924.6530839559
83,2013,48070,6280,5971,131,3415.0,103.0,112.0,105.0,2.0,112869.0,1284.0,250500.0,Oakland,141793.02272522397,1613.0402606489608,314693.60225277627
84,2012,48070,6236,5948,130,3338.0,127.0,136.0,131.0,0.0,112593.0,995.0,270000.0,Oakland,143518.14252550152,1268.289785447355,344159.0372570712
85,2011,48070,6231,5956,137,3362.0,120.0,142.0,142.0,0.0,109946.0,985.0,282800.0,Oakland,143044.32148271307,1281.5259914910264,367934.5689275759
86,2018,48070,6340,5927,96,3124.0,126.0,138.0,138.0,0.0,130417.0,1521.0,349500.0,Oakland,151995.71152934805,1772.6636652900952,407328.0414325367
87,2016,48070,6330,5871,116,3210.0,136.0,91.0,83.0,1.0,121528.0,1750.0,298800.0,Oakland,148186.41472957036,2133.8804701529534,364344.84827525856
88,2017,48070,6347,5903,86,3178.0,109.0,90.0,89.0,1.0,125873.0,1600.0,321400.0,Oakland,150282.9749306462,1910.2806788511746,383727.6313642297
89,2019,48070,6322,5925,103,3167.0,120.0,130.0,130.0,0.0,136331.0,1708.0,362900.0,Oakland,156060.45915034597,1955.1772100900812,415417.92127733637
90,2019,48071,30120,24335,2564,16493.0,633.0,4065.0,3429.0,215.0,53439.0,853.0,124000.0,Oakland,61172.54972482661,976.4438877089224,141944.94967867102
91,2011,48071,29850,25822,1393,14178.0,2427.0,4862.0,4060.0,473.0,42294.0,644.0,113800.0,Oakland,55026.25409555479,837.8708005281431,148058.53586972467
92,2017,48071,30173,24645,2536,15402.0,824.0,5183.0,3930.0,898.0,46687.0,781.0,91300.0,Oakland,55740.796283453,932.4557563642297,109005.39123694516
93,2012,48071,29854,25028,1884,13863.0,2362.0,5110.0,4187.0,561.0,41074.0,648.0,96600.0,Oakland,52355.512208507185,825.9816894169708,123132.45555197434
94,2018,48071,30226,24726,2872,16171.0,841.0,5219.0,3943.0,820.0,50350.0,813.0,110500.0,Oakland,58680.87807189763,947.5184483108794,128783.25773475051
95,2016,48071,30168,25354,2192,14981.0,1043.0,5317.0,4133.0,882.0,43158.0,719.0,84000.0,Oakland,52625.15047477781,876.7200331656992,102426.26256734176
96,2014,48071,30028,25407,2168,14276.0,1990.0,5945.0,4643.0,937.0,40820.0,678.0,80300.0,Oakland,50462.02140781292,838.1492041768045,99267.52373952419
97,2013,48071,29933,25296,1771,13785.0,2271.0,5560.0,4584.0,585.0,40140.0,653.0,84200.0,Oakland,50426.352073558635,820.3390110621274,105777.25073726052
98,2020,48071,30000,23767,2597,17053.0,595.0,3309.0,2710.0,194.0,54668.0,880.0,137700.0,Oakland,61816.78344428947,995.075170684399,155706.64886732015
99,2015,48071,30123,25614,2270,14615.0,1582.0,5757.0,4434.0,1007.0,41206.0,695.0,79700.0,Oakland,50878.80586624588,858.1461456351232,98408.98965053138
100,2019,48072,15372,14173,486,9332.0,156.0,619.0,506.0,98.0,86905.0,965.0,199200.0,Oakland,99481.66009536214,1104.6522293541734,228027.69335476827
101,2016,48072,15239,14172,363,8804.0,404.0,755.0,668.0,22.0,74172.0,900.0,159400.0,Oakland,90442.38984696277,1097.4242417929477,194366.02682421758
102,2018,48072,15360,13976,622,9157.0,191.0,725.0,573.0,97.0,82095.0,964.0,188200.0,Oakland,95678.38501117053,1123.5028095592716,219339.4489201814
103,2017,48072,15269,13911,647,8931.0,281.0,845.0,677.0,109.0,77772.0,920.0,172800.0,Oakland,92853.96809725848,1098.4113903394255,206310.31331592685
104,2011,48072,15037,13867,552,8302.0,597.0,973.0,832.0,59.0,67217.0,837.0,156700.0,Oakland,87452.11428431708,1088.9718323634406,203873.22118440998
105,2013,48072,15089,14160,248,8336.0,651.0,980.0,839.0,35.0,70023.0,879.0,142200.0,Oakland,87967.2259902042,1104.2541971265082,178640.4400812167
106,2015,48072,15178,14268,382,8574.0,557.0,769.0,682.0,22.0,73111.0,900.0,150800.0,Oakland,90273.27029284819,1111.268390031095,186199.19246298785
107,2012,48072,15034,13974,409,8275.0,663.0,978.0,840.0,53.0,68019.0,867.0,146000.0,Oakland,86701.30946366194,1105.132908525484,186100.81273900883
108,2014,48072,15135,14048,430,8362.0,662.0,1106.0,990.0,51.0,70625.0,883.0,145200.0,Oakland,87307.20876841713,1091.5718986550419,179497.44018653687
109,2020,48072,15352,13725,528,9493.0,206.0,593.0,483.0,107.0,93038.0,993.0,222100.0,Oakland,105204.32242060809,1122.8518687381911,251143.40387386933
110,2015,48073,33488,30087,1517,19527.0,1116.0,2477.0,1971.0,296.0,62987.0,751.0,163700.0,Oakland,77772.73564765397,927.291734348169,202127.37272010022
111,2011,48073,32850,30080,941,18758.0,1293.0,2108.0,1689.0,235.0,59457.0,709.0,165100.0,Oakland,77356.0313462761,922.4385055503936,214801.97075651618
112,2019,48073,34700,31025,1458,20757.0,723.0,2399.0,1800.0,314.0,78843.0,933.0,217500.0,Oakland,90252.94893157629,1068.0212745983877,248976.0206057334
113,2018,48073,34242,30789,1296,20441.0,797.0,2516.0,1993.0,267.0,76203.0,894.0,204000.0,Oakland,88811.49854444519,1041.9206553381625,237753.70658723172
114,2013,48073,33123,30252,1284,18852.0,1341.0,2167.0,1765.0,244.0,58755.0,731.0,152600.0,Oakland,73811.66706731285,918.327438110896,191705.56368771917
115,2016,48073,33832,30504,1356,19680.0,1056.0,2528.0,2094.0,145.0,65295.0,803.0,173100.0,Oakland,79618.12874207835,979.1462957330409,211071.2625048436
116,2012,48073,33321,30510,1155,18995.0,1353.0,2252.0,1798.0,299.0,58965.0,709.0,158000.0,Oakland,75160.50974764148,903.7361385750498,201396.76995043422
117,2017,48073,33800,30345,1197,19819.0,820.0,2553.0,2088.0,175.0,70350.0,848.0,188600.0,Oakland,83992.65359823758,1012.4487597911226,225174.3350195822
118,2014,48073,33017,30156,1242,19190.0,1221.0,2577.0,2044.0,320.0,60914.0,736.0,157000.0,Oakland,75302.39029974317,909.8492835901595,194084.69772235738
119,2020,48073,34628,30193,2055,20725.0,518.0,2394.0,1536.0,383.0,78279.0,956.0,232900.0,Oakland,88515.32873409553,1081.01348087987,263355.69005954155
120,2016,48075,21651,4267,16264,9579.0,917.0,3203.0,728.0,2249.0,53222.0,813.0,110700.0,Oakland,64896.79221856028,991.3398984196293,134983.18174053254
121,2018,48075,22052,4180,16470,10074.0,759.0,2523.0,639.0,1541.0,54966.0,876.0,136000.0,Oakland,64060.63841310676,1020.9423871098774,158502.47105815448
122,2014,48075,21238,4279,16129,8880.0,1270.0,3264.0,637.0,2524.0,53861.0,800.0,99200.0,Oakland,66583.41340142606,988.9666125979994,122631.85996215192
123,2020,48075,21810,4692,15104,9676.0,1067.0,2395.0,486.0,1557.0,58276.0,931.0,161800.0,Oakland,65896.59164409549,1052.7442998945178,182958.1393371997
124,2017,48075,21672,4245,16128,9894.0,853.0,2568.0,576.0,1713.0,55371.0,850.0,118000.0,Oakland,66108.84466791774,1014.8366106396866,140883.20006527414
125,2012,48075,21684,4440,16495,9120.0,1334.0,3347.0,809.0,2400.0,54928.0,816.0,120100.0,Oakland,70014.6948090978,1040.1250903769262,153087.03842434907
126,2015,48075,21372,4135,16404,9118.0,1070.0,3279.0,697.0,2477.0,52776.0,794.0,102100.0,Oakland,65164.778391423395,980.3856685385435,126067.22513574974
127,2019,48075,21758,4416,15973,10011.0,755.0,2067.0,580.0,1257.0,57106.0,898.0,148800.0,Oakland,65370.228196372474,1027.9561678342466,170333.93961440522
128,2011,48075,21809,4619,16344,9723.0,1226.0,2717.0,720.0,1827.0,56035.0,795.0,151700.0,Oakland,72903.86693725854,1034.3280845029096,197368.01310577532
129,2013,48075,21246,4133,16246,8791.0,1437.0,3417.0,625.0,2675.0,54152.0,827.0,105400.0,Oakland,68029.09360955025,1038.9285790939957,132410.00270436174
130,2013,48076,25276,8500,15314,11227.0,1857.0,2719.0,1250.0,1438.0,66177.0,864.0,117500.0,Oakland,83135.64277956876,1085.410268847899,147610.7715157733
131,2018,48076,25220,7451,16463,12413.0,975.0,2604.0,638.0,1819.0,67672.0,969.0,160100.0,Oakland,78868.96486358404,1129.3301062893506,186590.04129713625
132,2017,48076,25431,7840,16297,12386.0,1069.0,2534.0,903.0,1475.0,65344.0,920.0,143800.0,Oakland,78015.86292428197,1098.4113903394255,171686.47601174933
133,2020,48076,23822,7512,14948,11695.0,785.0,1989.0,686.0,1188.0,72290.0,992.0,181500.0,Oakland,81743.16373724455,1121.721101498777,205234.2539536573
134,2011,48076,25215,9448,14299,11837.0,1636.0,2275.0,1084.0,1140.0,66326.0,880.0,147900.0,Oakland,86292.88620470438,1144.9166218396986,192424.05496601298
135,2012,48076,25141,9458,14044,11628.0,1761.0,2285.0,1112.0,1142.0,65662.0,879.0,127000.0,Oakland,83696.92853471781,1120.4288657369093,161882.21382091867
136,2019,48076,24947,7608,15950,12321.0,940.0,2411.0,632.0,1618.0,71139.0,985.0,171300.0,Oakland,81434.04657412079,1127.5465760765398,196090.0796770673
137,2014,48076,25456,8254,15677,11253.0,1933.0,2774.0,1360.0,1354.0,62516.0,857.0,115100.0,Oakland,77282.79594147066,1059.4304837456068,142287.57138753717
138,2015,48076,25567,8102,15781,11855.0,1625.0,2742.0,1154.0,1490.0,62476.0,854.0,118400.0,Oakland,77141.78215064741,1054.4702278739499,146193.5304218685
139,2016,48076,25825,7869,16354,11965.0,1413.0,2781.0,944.0,1662.0,63502.0,883.0,127500.0,Oakland,77431.81578037307,1076.6951172257475,155468.43425400092
140,2014,48083,23671,17160,1295,11213.0,1189.0,3161.0,2130.0,269.0,65547.0,813.0,165000.0,Oakland,81029.74319495133,1005.037320052717,203974.36384833738
141,2016,48083,23002,16404,1346,11202.0,981.0,2378.0,1683.0,154.0,68807.0,855.0,179100.0,Oakland,83900.52200560816,1042.5530297033001,218387.42411679655
142,2019,48083,22561,15218,976,11188.0,416.0,1878.0,1173.0,159.0,77538.0,982.0,223800.0,Oakland,88759.09280794188,1124.112424068185,256187.7398232788
143,2012,48083,23265,17343,864,10749.0,1232.0,3042.0,2211.0,184.0,63291.0,775.0,171000.0,Oakland,80674.70232236033,987.8639032378894,217967.3902628117
144,2011,48083,23005,17167,1000,10738.0,1030.0,2716.0,1840.0,251.0,62606.0,737.0,184500.0,Oakland,81453.0113942002,958.8676707907476,240042.17810161863
145,2018,48083,22981,15666,1319,11186.0,501.0,1625.0,996.0,170.0,74439.0,940.0,212400.0,Oakland,86755.62825807325,1095.5317852548912,247543.56509376477
146,2013,48083,23305,17422,968,10704.0,1290.0,3173.0,2247.0,174.0,63788.0,805.0,163900.0,Oakland,80134.4331357289,1011.290817618702,205901.3229909382
147,2015,48083,23307,16687,1401,10963.0,1099.0,2981.0,2095.0,258.0,65580.0,818.0,168400.0,Oakland,80974.42335359911,1010.0194922727061,207930.6632013737
148,2017,48083,23029,15978,1322,11327.0,721.0,1963.0,1202.0,148.0,71624.0,896.0,197700.0,Oakland,85513.71458877284,1069.757180156658,236039.05638054828
149,2020,48083,22984,15516,843,11902.0,376.0,1838.0,835.0,130.0,79035.0,1005.0,232800.0,Oakland,89370.18876709258,1136.4210756111602,263242.6133356001
150,2013,48084,14689,9574,534,7423.0,450.0,818.0,530.0,92.0,84331.0,934.0,246100.0,Oakland,105941.82104422704,1173.3486008147424,309166.04995771754
151,2019,48084,15737,8710,738,8194.0,322.0,833.0,552.0,1.0,96280.0,1142.0,340900.0,Oakland,110213.38512147134,1307.2671978471153,390234.1398827334
152,2017,48084,15662,9495,684,8118.0,396.0,843.0,641.0,24.0,85726.0,1005.0,304200.0,Oakland,102350.45092199737,1199.895051403394,363192.11406657955
153,2016,48084,15655,9521,631,8134.0,352.0,895.0,694.0,23.0,84003.0,966.0,277600.0,Oakland,102429.92064814774,1177.9020195244304,338494.41057969135
154,2011,48084,14433,9356,831,7136.0,604.0,611.0,371.0,85.0,80707.0,934.0,259000.0,Oakland,105003.16568047336,1215.172869088953,336969.778473275
155,2020,48084,15438,8855,714,7994.0,361.0,721.0,433.0,7.0,98218.0,1165.0,356000.0,Oakland,111061.69672077308,1317.3438339174145,402553.13723141595
156,2015,48084,15254,9146,752,7902.0,355.0,843.0,525.0,54.0,81890.0,942.0,260000.0,Oakland,101113.07606627373,1163.1275815658792,321033.0904534274
157,2018,48084,15725,8870,742,7939.0,373.0,828.0,580.0,7.0,90383.0,1089.0,321700.0,Oakland,105337.71207094983,1269.1852278112517,374928.27161329624
158,2012,48084,14440,9297,779,7167.0,531.0,706.0,465.0,78.0,81581.0,948.0,250300.0,Oakland,103988.29043877452,1208.3806197026056,319048.1741683145
159,2014,48084,14573,9520,515,7618.0,396.0,714.0,464.0,52.0,82670.0,914.0,243900.0,Oakland,102197.33732934577,1129.8943548932143,301511.1960158151
160,2016,48085,24963,18611,725,12441.0,597.0,988.0,807.0,24.0,100853.0,1197.0,246500.0,Oakland,122976.14117504904,1459.5742415846203,300572.3062244018
161,2011,48085,24402,18397,1024,11854.0,970.0,909.0,598.0,52.0,95828.0,972.0,234500.0,Oakland,124676.21595188028,1264.6124504865763,305094.2588879652
162,2013,48085,24292,18181,1087,11432.0,1113.0,1244.0,852.0,54.0,91629.0,1152.0,212700.0,Oakland,115110.02028271311,1447.2136917971984,267206.90299068065
163,2018,48085,25938,19104,837,12896.0,436.0,597.0,558.0,16.0,113536.0,1206.0,279800.0,Oakland,132321.5923092546,1405.5439712951052,326095.5250152325
164,2014,48085,24410,17976,1091,11578.0,957.0,1127.0,869.0,46.0,92065.0,1149.0,214900.0,Oakland,113811.51398604353,1420.4032973438766,265661.1563091376
165,2019,48085,26459,19746,877,13079.0,372.0,793.0,717.0,14.0,116672.0,1290.0,293900.0,Oakland,133556.461039596,1476.685363592626,336432.42508517264
166,2015,48085,24931,18041,932,12112.0,779.0,1039.0,824.0,17.0,95446.0,1212.0,229600.0,Oakland,117851.2475054532,1496.5080985752077,283496.9137234882
