datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
786,2020,48614,1274,1217,0,487.0,73.0,246.0,240.0,0.0,44118.0,468.0,103700.0,Saginaw,49887.18906847081,529.199068045794,117260.56272724111
787,2017,48614,1522,1465,0,659.0,79.0,305.0,296.0,0.0,44353.0,506.0,96400.0,Saginaw,52954.17434317884,604.1262646866841,115094.41090078327
788,2016,48614,1511,1469,0,661.0,60.0,283.0,276.0,0.0,45750.0,472.0,94900.0,Saginaw,55785.7322911415,575.538046806968,115717.28949572302
789,2015,48614,1466,1453,0,593.0,66.0,307.0,307.0,0.0,49432.0,428.0,91800.0,Saginaw,61035.798951130084,528.4698565925651,113349.37578317165
790,2018,48616,7294,6964,24,3159.0,202.0,851.0,771.0,5.0,49366.0,509.0,105500.0,Saginaw,57534.06607541804,593.2188071220635,122955.9610046713
791,2013,48616,7459,7128,23,3103.0,420.0,815.0,737.0,1.0,42731.0,504.0,108800.0,Saginaw,53681.3266182171,633.1559901612744,136681.29311417986
792,2011,48616,7440,7066,40,3087.0,465.0,905.0,812.0,1.0,46698.0,461.0,120700.0,Saginaw,60756.0413712162,599.7801848501149,157035.7230182405
793,2017,48616,7374,7168,35,3196.0,216.0,912.0,847.0,4.0,47699.0,507.0,105200.0,Saginaw,56949.04881282637,605.320190110966,125600.95463446474
794,2016,48616,7348,7104,33,3259.0,313.0,915.0,846.0,2.0,45018.0,486.0,104000.0,Saginaw,54893.16057448324,592.6090905681917,126813.46794051839
795,2012,48616,7575,7219,40,3140.0,450.0,876.0,789.0,1.0,44540.0,494.0,113500.0,Saginaw,56773.49451640722,629.683571870345,144674.2619580651
796,2015,48616,7430,7144,27,3215.0,386.0,890.0,825.0,2.0,44342.0,498.0,100100.0,Saginaw,54750.95883417645,614.9018424838723,123597.73982456954
797,2020,48616,7118,6702,29,3115.0,181.0,570.0,550.0,13.0,51612.0,518.0,113900.0,Saginaw,58361.158760640006,585.7374300164985,128794.38856926483
798,2019,48616,7321,7014,35,3223.0,194.0,782.0,724.0,15.0,51929.0,516.0,115000.0,Saginaw,59444.02654728796,590.6741454370504,131642.4936536062
799,2014,48616,7564,7253,21,3192.0,441.0,999.0,915.0,1.0,43530.0,496.0,102100.0,Saginaw,53812.14580798864,613.1592998107595,126216.86393281967
800,2016,48623,14055,12702,703,6175.0,373.0,682.0,660.0,2.0,70833.0,799.0,152300.0,Saginaw,86370.94590991095,974.2688546584056,185708.5689167399
801,2013,48623,14018,12520,887,6008.0,539.0,810.0,765.0,13.0,67509.0,717.0,151900.0,Saginaw,84808.98361070927,900.7397717175272,190826.18036805073
802,2015,48623,14010,12617,704,6080.0,374.0,790.0,769.0,5.0,69561.0,797.0,151700.0,Saginaw,85889.9338655033,984.0898965053138,187310.46085301894
803,2012,48623,13663,12343,888,6016.0,436.0,783.0,767.0,7.0,66538.0,703.0,155500.0,Saginaw,84813.53341115185,896.0881599693371,198210.11219805392
